데이터프레임,train_test_split(Y/R),t-test(Y/N),변수선택법,VIF(Y/N),sampling 방식,적용모델,선택된 변수,혼동행렬,Accuracy,Precision,Recall,F1-score,hyperparameter 변경
diff_df,Y,t_Y,forward,v_N,RUSE,lg,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[1402 1647]
 [  13   24]]",0.462,0.013999999999999999,0.649,0.027999999999999997,none
diff_df,Y,t_Y,forward,v_N,RUSE,sgd,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[1324 1725]
 [  14   23]]",0.436,0.013,0.622,0.026,none
diff_df,Y,t_Y,forward,v_N,RUSE,knn,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2526  523]
 [  17   20]]",0.825,0.037000000000000005,0.541,0.069,none
diff_df,Y,t_Y,forward,v_N,RUSE,svm,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2994   55]
 [  33    4]]",0.971,0.068,0.108,0.083,none
diff_df,Y,t_Y,forward,v_N,RUSE,dt,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2197  852]
 [  10   27]]",0.721,0.031,0.73,0.059000000000000004,none
diff_df,Y,t_Y,forward,v_N,RUSE,pr,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2716  333]
 [  19   18]]",0.8859999999999999,0.051,0.486,0.093,none
diff_df,Y,t_Y,forward,v_N,RUSE,rf,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2495  554]
 [  12   25]]",0.8170000000000001,0.043,0.6759999999999999,0.081,none
diff_df,Y,t_Y,forward,v_N,ROSE,lg,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[1384 1665]
 [  14   23]]",0.456,0.014,0.622,0.027000000000000003,none
diff_df,Y,t_Y,forward,v_N,ROSE,sgd,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[1458 1591]
 [  19   18]]",0.478,0.011000000000000001,0.486,0.022000000000000002,none
diff_df,Y,t_Y,forward,v_N,ROSE,knn,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2995   54]
 [  32    5]]",0.972,0.085,0.135,0.104,none
diff_df,Y,t_Y,forward,v_N,ROSE,svm,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2949  100]
 [  34    3]]",0.9570000000000001,0.028999999999999998,0.081,0.043,none
diff_df,Y,t_Y,forward,v_N,ROSE,dt,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[3033   16]
 [  37    0]]",0.983,0.0,0.0,0.0,none
diff_df,Y,t_Y,forward,v_N,ROSE,pr,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2326  723]
 [   9   28]]",0.763,0.037000000000000005,0.757,0.071,none
diff_df,Y,t_Y,forward,v_N,ROSE,rf,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[3048    1]
 [  37    0]]",0.988,0.0,0.0,0.0,none
diff_df,Y,t_Y,forward,v_N,SMOTE,lg,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[1365 1684]
 [  14   23]]",0.45,0.013000000000000001,0.622,0.026000000000000002,none
diff_df,Y,t_Y,forward,v_N,SMOTE,sgd,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[1344 1705]
 [   7   30]]",0.445,0.017,0.8109999999999999,0.034,none
diff_df,Y,t_Y,forward,v_N,SMOTE,knn,"['growth_rate_자기자본순이익률', 'growth_rate_CASH FLOW 대 총자본비율', 'growth_rate_유보액대비율', 'growth_rate_CASH FLOW 대 차입금비율', 'growth_rate_수지비율', 'growth_rate_사내유보 대 자기자본비율', 'growth_rate_EV/EBITDA(배)', 'growth_rate_EBITDA(백만원)', 'growth_rate_순운전자본회전률', 'growth_rate_적립금비율(재정비율)', 'growth_rate_기업순이익률', 'growth_rate_총자본순이익률']","[[2677  372]
 [  23   14]]",0.872,0.036000000000000004,0.37799999999999995,0.066,none
